name,sub,url,style,img,symbols,id
Daenerys Targaryen,Died Ep. 73,https://gameofthrones.fandom.com/wiki/Daenerys_Targaryen,fresh,Targaryen.jpg,,129
Cersei Lannister,Died Ep. 72,https://en.wikipedia.org/wiki/Cersei_Lannister,,Lannister.jpg,,128
Jaime Lannister,Died Ep. 72,https://en.wikipedia.org/wiki/Jaime_Lannister,,Lannister.jpg,,127
Sandor Clegane,Died Ep. 72,https://en.wikipedia.org/wiki/Sandor_Clegane,,,,126
Gregor Clegane,Died Ep. 72,https://gameofthrones.fandom.com/wiki/Gregor_Clegane,,,,125
Qyburn,Died Ep. 72,https://gameofthrones.fandom.com/wiki/Qyburn,,,,124
Euron Greyjoy,Died Ep. 72,https://gameofthrones.fandom.com/wiki/Euron_Greyjoy,,Greyjoy.jpg,,123
Varys,Died Ep. 72,https://gameofthrones.fandom.com/wiki/Varys,,,,122
Missandei,Died Ep. 71,https://gameofthrones.fandom.com/wiki/Missandei,,,,121
Rhaegal,Died Ep. 71,https://gameofthrones.fandom.com/wiki/Rhaegal,,,,120
The Night King,Died Ep. 70,https://gameofthrones.fandom.com/wiki/Night%27s_King,,,,119
Melisandre,Died Ep. 70,https://gameofthrones.fandom.com/wiki/Melisandre,,,,118
Theon Greyjoy,Died Ep 70,https://gameofthrones.fandom.com/wiki/Theon_Greyjoy,,Greyjoy.jpg,,117
Jorah Mormont,Died Ep. 70,https://gameofthrones.fandom.com/wiki/Jorah_Mormont,,,,116
Lyanna Mormont,Died Ep. 70,https://gameofthrones.fandom.com/wiki/Lyanna_Mormont,,,,115
Berric Dondarrion,Died Ep. 70,https://gameofthrones.fandom.com/wiki/Beric_Dondarrion,,,,114
Eddison Tollett,Died Ep. 70,https://gameofthrones.fandom.com/wiki/Eddison_Tollett,,,crow,113
Ned Umber,Died Ep. 68,https://gameofthrones.fandom.com/wiki/Ned_Umber,,,,112
Petyr Baelish,Died Ep. 67,http://gameofthrones.wikia.com/wiki/Petyr_Baelish,,,,111
Thoros of Myr,Died Ep. 66,http://gameofthrones.wikia.com/wiki/Thoros,,,,110
Viserion,Died Ep. 66,http://gameofthrones.wikia.com/wiki/Viserion,,Targaryen.jpg,,109
Dickon Tarly,Died Ep. 65,http://gameofthrones.wikia.com/wiki/Dickon_Tarly,,Tarly.jpg,,108
Randyll Tarly,Died Ep. 65,http://gameofthrones.wikia.com/wiki/Randyll_Tarly,,Tarly.jpg,,107
Olenna Tyrell,Died Ep. 63,http://gameofthrones.wikia.com/wiki/Olenna_Tyrell,,Tyrell.jpg,,106
Tyene Sand,Died Ep. 63,http://gameofthrones.wikia.com/wiki/Tyene_Sand,,Martell.jpg,,105
Nymeria Sand,Died Ep. 62,http://gameofthrones.wikia.com/wiki/Nymeria_Sand,,Martell.jpg,,104
Obara Sand,Died Ep. 62,http://gameofthrones.wikia.com/wiki/Obara_Sand,,Martell.jpg,,103
Walder Frey,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Walder_Frey,,,,102
Lothar Frey,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Lothar_Frey,,,,101
Black Walder,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Walder_Rivers,,,,100
Tommen Baratheon,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Tommen_Baratheon,,Baratheon.jpg,,99
Kevan Lannister,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Kevan_Lannister,,Lannister.jpg,,98
The High Sparrow,Died Ep. 60,http://gameofthrones.wikia.com/wiki/High_Sparrow,,,,96
Loras Tyrell,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Loras_Tyrell,,Tyrell.jpg,,95
Mace Tyrell,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Mace_Tyrell,,Tyrell.jpg,,94
Margaery Tyrell,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Margaery_Tyrell,,Tyrell.jpg,,93
Lancel Lannister,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Lancel,,Lannister.jpg,,97
Grand Maester Pycelle,Died Ep. 60,http://gameofthrones.wikia.com/wiki/Pycelle,,,,92
Ramsay Bolton,Died Ep. 59,http://gameofthrones.wikia.com/wiki/Ramsay_Bolton,,,,89
Wun Wun,Died Ep. 59,http://gameofthrones.wikia.com/wiki/Wun_Weg_Wun_Dar_Wun,,,,88
Jon Umber,Died Ep. 59,http://gameofthrones.wikia.com/wiki/Smalljon_Umber,,,,87
Rickon Stark,Died Ep. 59,http://gameofthrones.wikia.com/wiki/Rickon_Stark,,Stark.jpg,,86
Razdal mo Eraz,Died Ep. 59,http://gameofthrones.wikia.com/wiki/Razdal_mo_Eraz,,,,90
Belicho Paenymion,Died Ep. 59,http://gameofthrones.wikia.com/wiki/Belicho_Paenymion,,,,91
Lady Crane,Died Ep. 58,http://gameofthrones.wikia.com/wiki/Lady_Crane,,,,85
Lem Lemoncloak,Died Ep. 58,http://gameofthrones.wikia.com/wiki/Lem,,,,84
The Waif,Died Ep. 58,http://gameofthrones.wikia.com/wiki/Waif,,,,83
The Blackfish,Died Ep. 58,http://gameofthrones.wikia.com/wiki/Brynden_Tully,,Tully.jpg,,82
Hodor,Died Ep. 55,http://gameofthrones.wikia.com/wiki/Summer,,,,79
Leaf,Died Ep. 55,http://gameofthrones.wikia.com/wiki/Leaf,,,,80
Three-eyed raven,Died Ep. 55,http://gameofthrones.wikia.com/wiki/Three-eyed_raven,,,,81
Summer,Died Ep. 55,http://gameofthrones.wikia.com/wiki/Summer,,Stark.jpg,,78
Osha,Died Ep. 54,http://gameofthrones.wikia.com/wiki/Osha,,,,77
Shaggydog,Died Ep. 53,http://gameofthrones.wikia.com/wiki/Shaggydog,,Stark.jpg,,76
Olly,Died Ep. 53,http://gameofthrones.wikia.com/wiki/Olly,,,crow,74
Alliser Thorne,Died Ep. 53,http://gameofthrones.wikia.com/wiki/Alliser_Thorne,,,crow,73
Balon Greyjoy,Died Ep. 52,http://gameofthrones.wikia.com/wiki/Balon_Greyjoy,,Greyjoy.jpg,,72
Walda Frey,Died Ep. 52,http://gameofthrones.wikia.com/wiki/Walda_Bolton,,,,75
Roose Bolton,Died Ep. 52,http://gameofthrones.wikia.com/wiki/Roose_Bolton,,,,71
Doran Martell,Died Ep. 51,http://gameofthrones.wikia.com/wiki/Doran_Martell,,Martell.jpg,,69
Trystane Martell,Died Ep. 51,http://gameofthrones.wikia.com/wiki/Trystane_Martell,,Martell.jpg,,68
Areo Hotah,Died Ep. 51,http://gameofthrones.wikia.com/wiki/Areo_Hotah,,,,70
Jon Snow,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Jon_Snow,,Stark.jpg,hand,64
Myrcella Baratheon,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Myrcella_Baratheon,,Baratheon.jpg,,63
Meryn Trant,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Meryn_Trant,,,,62
Myranda,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Myranda,,,,61
Stannis Baratheon,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Stannis_Baratheon,,Baratheon.jpg,,60
Selyse Baratheon,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Selyse_Baratheon,,Baratheon.jpg,,59
Hizdahr zo Loraq,Died Ep. 49,http://gameofthrones.wikia.com/wiki/Hizdahr_zo_Loraq,,,,65
Shireen Baratheon,Died Ep. 49,http://gameofthrones.wikia.com/wiki/Shireen_Baratheon,,Baratheon.jpg,,58
Karsi,Died Ep. 48,http://gameofthrones.wikia.com/wiki/Karsi,,,,57
Rattleshirt,Died Ep. 48,http://gameofthrones.wikia.com/wiki/Lord_of_Bones,,,,56
Aemon Targaryen,Died Ep. 47,http://gameofthrones.wikia.com/wiki/Aemon,,Targaryen.jpg,crow,55
Barristan Selmy,Died Ep. 44,http://gameofthrones.wikia.com/wiki/Barristan_Selmy,,,,54
Janos Slynt,Died Ep. 43,http://gameofthrones.wikia.com/wiki/Janos_Slynt,,,crow,53
Mossador,Died Ep. 42,http://gameofthrones.wikia.com/wiki/Mossador,,,,52
Mance Rayder,Died Ep. 41,http://gameofthrones.wikia.com/wiki/Mance_Rayder,,,,51
Tywin Lannister,Died Ep. 40,http://gameofthrones.wikia.com/wiki/Tywin_Lannister,,Lannister.jpg,,49
Jojen Reed,Died Ep. 40,http://gameofthrones.wikia.com/wiki/Jojen_Reed,,,,50
Shae,Died Ep. 40,http://gameofthrones.wikia.com/wiki/Shae,,,,48
The Hound,Died Ep. 40,http://gameofthrones.wikia.com/wiki/Sandor_Clegane,,,hand,66
Ygritte,Died Ep. 39,http://gameofthrones.wikia.com/wiki/Ygritte,,,,44
Styr,Died Ep. 39,http://gameofthrones.wikia.com/wiki/Styr,,,,47
Pyp,Died Ep. 39,http://gameofthrones.wikia.com/wiki/Pypar,,,crow,46
Grenn,Died Ep. 39,http://gameofthrones.wikia.com/wiki/Grenn,,,crow,45
Oberyn Martell,Died Ep. 38,http://gameofthrones.wikia.com/wiki/Oberyn_Martell,,Martell.jpg,,43
Lysa Arryn,Died Ep. 37,http://gameofthrones.wikia.com/wiki/Lysa_Arryn,,Arryn.jpg,,42
Rorge,Died Ep. 37,http://gameofthrones.wikia.com/wiki/Rorge,,,,41
Biter,Died Ep. 37,http://gameofthrones.wikia.com/wiki/Biter,,,,40
Locke,Died Ep. 35,http://gameofthrones.wikia.com/wiki/Locke,,,,37
Karl Tanner,Died Ep. 35,http://gameofthrones.wikia.com/wiki/Karl_Tanner,,,crow,39
Rast,Died Ep. 35,http://gameofthrones.wikia.com/wiki/Rast,,,crow,38
Dontos Hollard,Died Ep. 33,http://gameofthrones.wikia.com/wiki/Dontos_Hollard,,,,36
Joffrey Baratheon,Died Ep. 32,http://gameofthrones.wikia.com/wiki/Joffrey_Baratheon,,Baratheon.jpg,,32
Polliver,Died Ep. 31,http://gameofthrones.wikia.com/wiki/Polliver,,,,31
Catelyn Stark,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Catelyn_Stark,,Stark.jpg,,6
Grey Wind,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Grey_Wind,,Stark.jpg,,33
Talisa Stark,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Talisa_Stark,,Stark.jpg,,7
Robb Stark,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Robb_Stark,,Stark.jpg,,1
Orell,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Orell,,,,28
Ros,Died Ep. 26,http://gameofthrones.wikia.com/wiki/Ros,,,,9
Rickard Karstark,Died Ep. 25,http://gameofthrones.wikia.com/wiki/Rickard_Karstark,,,,21
Jeor Mormont,Died Ep. 24,http://gameofthrones.wikia.com/wiki/Jeor_Mormont,,,crow,11
Craster,Died Ep. 24,http://gameofthrones.wikia.com/wiki/Craster,,,,16
Hoster Tully,Died Ep. 23,http://gameofthrones.wikia.com/wiki/Hoster_Tully,,Tully.jpg,,18
Qhorin Halfhand,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Qhorin,,,crow,17
Doreah,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Doreah,,,,13
Pyat Pree,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Pyat_Pree,,,,22
Maester Luwin,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Luwin,,,,29
Xaro Xhoan Daxos,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Xaro_Xhoan_Daxos,,,,19
Rodrik Cassel,Died Ep. 16,http://gameofthrones.wikia.com/wiki/Rodrik_Cassel,,,,23
Irri,Died Ep. 16,http://gameofthrones.wikia.com/wiki/Irri,,,,24
Amory Lorch,Died Ep. 16,http://gameofthrones.wikia.com/wiki/Amory_Lorch,,,,20
Renly Baratheon,Died Ep. 15,http://gameofthrones.wikia.com/wiki/Renly_Baratheon,,Baratheon.jpg,,3
The Tickler,Died Ep. 15,http://gameofthrones.wikia.com/wiki/The_Tickler,,,,25
Yoren,Died Ep. 13,http://gameofthrones.wikia.com/wiki/Yoren,,,crow,15
Lommy,Died Ep. 13,http://gameofthrones.wikia.com/wiki/Lommy,,,crow,12
Rakharo,Died Ep. 12,http://gameofthrones.wikia.com/wiki/Rakharo,,,,27
Septa Mordane,Died Ep. 10,http://gameofthrones.wikia.com/wiki/Mordane,,,,35
Mirri Maz Duur,Died Ep. 10,http://gameofthrones.wikia.com/wiki/Mirri_Maz_Duur,,,,14
Khal Drogo,Died Ep. 10,http://gameofthrones.wikia.com/wiki/Drogo,,,,4
Ned Stark,Died Ep. 9,http://gameofthrones.wikia.com/wiki/Eddard_Stark,,Stark.jpg,,2
Syrio Forel,Died Ep. 8,http://gameofthrones.wikia.com/wiki/Syrio_Forel,,,,67
Robert Baratheon,Died Ep. 7,http://gameofthrones.wikia.com/wiki/Robert_Baratheon,,Baratheon.jpg,,5
Viserys Targaryen,Died Ep. 6,http://gameofthrones.wikia.com/wiki/Viserys_Targaryen,,Targaryen.jpg,,8
Jory Cassel,Died Ep. 5,http://gameofthrones.wikia.com/wiki/Jory_Cassel,,,,26
Lady,Died Ep. 2,http://gameofthrones.wikia.com/wiki/The_Kingsroad,,Stark.jpg,,34
Mycah,Died Ep. 2,http://gameofthrones.wikia.com/wiki/Mycah,,,,30
Jon Arryn,Died Ep. 1,http://gameofthrones.wikia.com/wiki/Jon_Arryn,,Arryn.jpg,,10